country,coef
AGO,-1.301292
ALB,-1.467463
ARE,-1.546884
ARG,-1.438255
ARM,-6.221193
AUS,-1.458554
AUT,-1.426581
AZE,-4.725793
BDI,-1.451396
BEL,-1.434239
BEN,-1.37887
BFA,-1.364476
BGD,-1.404334
BGR,-1.218162
BHS,-1.396258
BIH,5.392428
BLR,-2.812825
BLZ,-1.397752
BOL,-1.448528
BRA,-1.397091
BRN,-1.333698
BTN,-1.249482
BWA,-1.392063
CAF,-1.398074
CAN,-1.416599
CHE,-1.473124
CHL,-1.482998
CHN,-1.521955
CIV,-1.334037
CMR,-1.412931
COG,-1.392052
COL,-1.430936
COM,-1.255226
CPV,-1.582909
CRI,-1.406989
CUB,-1.25616
CYP,-1.212618
CZE,-2.263829
DEU,-1.455627
DJI,-1.483661
DNK,-1.436546
DOM,-1.386735
DZA,-1.476978
ECU,-1.446292
EGY,-1.449465
ERI,1.635203
ESP,-1.422163
EST,-3.151231
ETH,-1.2541
FIN,-1.389162
FJI,-1.413907
FRA,-1.432692
GAB,-1.318392
GBR,-1.463693
GEO,-1.267583
GHA,-1.398178
GIN,-1.455583
GMB,-1.369253
GNB,-1.403394
GNQ,-3.303203
GRC,-1.392682
GRL,-1.246943
GTM,-1.424224
GUY,-1.392196
HND,-1.413328
HRV,-1.913143
HTI,-.6958928
HUN,-1.373426
IDN,-1.405881
IND,-1.394228
IRL,-1.560179
IRN,-1.333627
IRQ,-7.487337
ISL,-1.382274
ISR,-1.393824
ITA,-1.438798
JOR,-1.173083
JPN,-1.399533
KAZ,-3.648752
KEN,-1.442201
KGZ,-1.253691
KHM,-2.281333
KOR,-1.447139
KWT,-4.507413
LAO,-1.453623
LBN,-1.871817
LBR,-1.299786
LBY,-4.361454
LKA,-1.380403
LSO,-1.447242
LTU,-4.4885
LUX,-1.480751
LVA,-1.353751
MAR,-1.411273
MDA,-.7605892
MDG,-1.462977
MEX,-1.428673
MKD,-1.87951
MLI,-1.36702
MNG,-.9333721
MOZ,-1.797623
MRT,-1.305525
MUS,-1.479013
MWI,-1.41347
MYS,-1.368402
NAM,-1.503726
NER,-1.364735
NGA,-1.34877
NIC,-1.36046
NLD,-1.441244
NOR,-1.417421
NPL,-1.461495
NZL,-1.493039
OMN,-1.246923
PAK,-1.399657
PAN,-1.348845
PER,-1.429617
PHL,-1.370055
PNG,-1.37903
POL,-1.640013
PRI,-1.358276
PRT,-1.418865
PRY,-1.406384
QAT,1.842753
ROM,-1.251767
RUS,-2.730206
RWA,-1.461669
SAU,-1.201657
SDN,-1.394607
SEN,-1.410447
SLB,.7244817
SLE,-1.346449
SLV,-1.450826
SRB,-4.501825
STP,-1.345333
SUR,-1.307989
SVK,-1.434582
SVN,-2.671101
SWE,-1.416966
SWZ,-1.474592
SYR,-1.434915
TCD,-1.388936
TGO,-1.320037
THA,-1.366461
TJK,-1.243034
TKM,-.5171017
TTO,-1.355367
TUN,-1.422484
TUR,-1.45469
TZA,-1.255329
UGA,-1.701005
UKR,-1.622045
URY,-1.472393
USA,-1.456164
UZB,-1.079223
VCT,-1.419194
VEN,-1.391011
VNM,-1.567806
VUT,-1.420233
WSM,-1.468687
YEM,-.9031924
ZAF,-1.424299
ZAR,-1.403338
ZMB,-1.434115
ZWE,-1.440004
AFG,0