"Precipitation (mm)","Historical Ref Period, 1995-2014"
566.005357279051,0.00011869878300391773
578.451001342062,0.00030522020304455473
590.896645405073,0.0007023043286189308
603.3422894680839,0.0014460472070880665
615.7879335310948,0.0026643093837786535
628.2335775941058,0.004392703552761816
640.6792216571167,0.0064807339631994644
653.1248657201277,0.008555818241976022
665.5705097831386,0.010107504970744245
678.0161538461496,0.010684923934875782
690.4617979091605,0.010107504970744327
702.9074419721715,0.008555818241976161
715.3530860351824,0.006480733963199622
727.7987300981933,0.004392703552761958
740.2443741612043,0.002664309383778762
752.6900182242152,0.0014460472070881366
765.1356622872262,0.000702304328618971
777.5813063502371,0.0003052202030445746
790.0269504132481,0.00011869878300392638