Year	GDP Per Capita (US )	Annual Growth Rate (%)
2022	12647	2.98%
2021	12282	12.72%
2020	10896	-3.84%
2019	11330	0.36%
2018	11290	5.05%
2017	10747	5.27%
2016	10209	0.51%
2015	10157	-6.81%
2014	10899	1.49%
2013	10738	1.54%
2012	10576	0.97%
2011	10474	9.58%
2010	9558	8.22%
2009	8832	-6.33%
2008	9429	8.54%
2007	8687	11.30%
2006	7806	7.02%
2005	7294	6.94%
2004	6820	11.28%
2003	6129	10.70%
2002	5537	2.50%
2001	5401	-1.94%
2000	5508	1.96%
1999	5403	2.39%
1998	5277	-1.64%
1997	5365	-1.79%
1996	5462	0.74%
1995	5422	9.65%
1994	4945	6.07%
1993	4662	0.07%
1992	4659	5.21%
1991	4428	2.53%
1990	4319	10.87%
1989	3896	2.71%
1988	3793	9.69%
1987	3458	11.90%
1986	3090	16.20%
1985	2659	2.95%
1984	2583	2.20%
1983	2527	0.19%
1982	2522	-2.77%
1981	2594	1.65%
1980	2552	10.82%
1979	2303	13.67%
1978	2026	16.20%
1977	1743	11.14%
1976	1569	6.79%
1975	1469	9.36%
1974	1343	13.04%
1973	1188	19.65%
1972	993	13.03%
1971	879	8.17%
1970	812	7.13%
1969	758	8.03%
1968	702	5.72%
1967	664	4.25%
1966	637	6.28%
1965	599	6.72%
1964	561	7.26%
1963	523	5.53%
1962	496	5.15%
1961	472	3.25%
1960	457	3.25%