"","ISO3","tmean.hist.clim","prcp.hist"
"1","AFG",18.7183044638581,3.78431432453596e-05
"2","AGO",23.3526818124545,0.000262104190132214
"3","ALB",18.3179918669775,0.000103044904930204
"4","ARE",23.8266129869271,2.28982064442153e-05
"5","ARG",19.1537092148482,0.00011877256768599
"6","ARM",18.0612758351065,9.82650974410652e-05
"7","AUS",24.5242278821866,0.000115808938326708
"8","AUT",15.0912983766943,0.000171445594694969
"9","AZE",16.381208780982,8.27119316448712e-05
"10","BDI",20.3194973427785,0.000178609434891056
"11","BEN",26.3093230454336,0.000245922013957938
"12","BFA",27.8977936288765,0.000199879941036385
"13","BGD",25.7053919496965,0.000335855641518031
"14","BGR",18.2767561170095,9.75179745108531e-05
"15","BHR",23.0199407965405,2.76184867991063e-05
"16","BHS",23.1487235338335,0.000125629439484043
"17","BLR",15.4534011740776,0.000134804674661332
"18","BLX",14.1540277459133,0.000138218142996217
"19","BLZ",24.2058845941755,0.000136865977659063
"20","BOL",22.1201460584859,0.000239898921782784
"21","BRA",25.7671857328292,0.000386644754912822
"22","BRN",26.2962169781075,0.000510928179200675
"23","BTN",16.4135014443245,0.000164403291833286
"24","BWA",24.8633399702003,0.000133497410035063
"25","CAF",24.6218710755107,0.000379456703265356
"26","CAN",6.43919654529094,9.57903217412416e-05
"27","CHE",13.8966158230708,0.000266204519222746
"28","CHL",11.8618138810372,6.94976254919636e-05
"29","CHN",15.4270744386921,0.000152315148844324
"30","CIV",25.319548017033,0.000287362409318506
"31","CMR",24.1641391892552,0.000419358424167423
"32","COD",24.9735492352788,0.000233027195797175
"33","COG",25.5218377430456,0.000276659961899491
"34","COL",24.4154018737303,0.000516230702133978
"35","COM",22.7421970267918,0.000243051261571704
"36","CPV",21.9076495027386,7.24433158449134e-05
"37","CRI",23.9284057217023,0.000329881616402834
"38","CSK",14.6448205795416,0.000138270412348491
"39","CUB",26.7096749410948,0.000280129783706417
"40","CYP",12.2905762420109,0.000135029363434499
"41","DEU",13.9449582888461,0.000132016652553311
"42","DJI",26.2751393985239,2.58561194133468e-05
"43","DNK",12.3425697063512,0.000121392315104137
"44","DOM",23.4667637545482,0.000242029821971802
"45","DZA",28.6638798850237,8.50478061798254e-06
"46","ECU",21.1685080451312,0.000287612739319476
"47","EGY",27.7012155604007,1.30153796328493e-06
"48","ESP",11.4989898086387,9.63583312981064e-05
"49","EST",13.444140654654,0.000129714838682712
"50","ETF",23.1358870800138,0.000160640814370736
"51","FIN",10.7423185515015,0.000107742519609482
"52","FJI",22.4404535339763,0.000237676828315556
"53","FRA",12.6105533978895,0.000125508284307252
"54","GAB",25.7590474122679,0.000312771148319702
"55","GBR",9.49543543000076,0.000147519991603423
"56","GEO",17.5681376237036,0.000163247138270317
"57","GHA",26.1387487639406,0.000246184753751138
"58","GIN",24.5302087031481,0.00048143318466016
"59","GMB",26.9953113651886,0.000333642143085468
"60","GNB",26.2865115380543,0.000510615318829855
"61","GNQ",24.6336835661181,0.000362094432350479
"62","GRC",19.7216847108079,5.21850760015313e-05
"63","GTM",23.0584765084722,0.000611024740921983
"64","GUF",26.3586322272606,0.000223744116434998
"65","GUY",26.5061493037573,0.000331589434621623
"66","HND",22.1639672061077,0.000282410857766207
"67","HTI",24.8914081247381,0.000271107483314632
"68","HUN",17.1844006065147,0.000121385306155754
"69","IDN",26.1077085115221,0.000362407532287862
"70","IND",23.1242105277542,0.00019250038344578
"71","IRL",9.9908636549137,0.000148870681888964
"72","IRN",24.1334303586477,2.07794110636445e-05
"73","IRQ",13.6623957868102,5.92958963487007e-05
"74","ISL",5.34888194468702,0.000158996572226259
"75","ISR",16.2697327182689,6.73579141934501e-05
"76","ITA",18.2107193202982,0.000134431824708013
"77","JAM",23.9728443332246,0.000373343921592084
"78","JOR",14.5590919989602,9.03261833124423e-05
"79","JPN",18.9027724817569,0.000342723757132876
"80","KAZ",17.3751846305682,4.86267367860783e-05
"81","KEN",25.45264036959,9.76192050462818e-05
"82","KGZ",10.8478846718041,5.4891058214296e-05
"83","KHM",26.8466911850964,0.000282421675566693
"84","KOR",20.9488659227769,0.000348160864843201
"85","KWT",17.1161365739041,3.93714682823524e-05
"86","LANT",25.0883227147162,0.000412364098838181
"87","LAO",23.0242556605624,0.000196198679766631
"88","LBN",13.790077115003,9.2676873376869e-05
"89","LBR",24.9272902176448,0.000349915689186088
"90","LBY",27.6990135571581,2.09237272073483e-06
"91","LKA",25.671386587331,0.000268993517088338
"92","LSO",16.141052833129,0.000202475512889835
"93","LTU",14.5780464055787,0.000134424745695914
"94","LVA",14.0310678917109,0.000132216434048776
"95","MAR",12.9890354982193,7.43725114689604e-05
"96","MDA",17.7827225239355,0.000100698299825088
"97","MDG",23.6438190794541,0.000342423193143804
"98","MEX",22.2910830003783,0.000193865256594525
"99","MICRO",26.9592557586024,0.000407187201171737
"100","MLI",28.1750979885524,0.000177757418502075
"101","MLT",16.7538194067547,5.11305306953829e-05
"102","MMR",23.9876479433427,0.000227803982835554
"103","MNG",11.6344628742823,7.17222152127117e-05
"104","MOZ",25.176643707155,0.000257390580471037
"105","MRT",23.0728390939446,6.88800392130243e-07
"106","MUS",21.9590336227087,0.000303564539563487
"107","MWI",23.0143946023865,0.000292506210987877
"108","MYS",26.516354878661,0.000391523950904609
"109","NAM",22.2539061039546,9.08025428931252e-05
"110","NCL",19.0066220592437,0.000153452452924403
"111","NER",27.0620300763104,1.10715200834748e-06
"112","NGA",26.4443311321736,0.000287546304055697
"113","NIC",23.9381725262807,0.000254472308017532
"114","NLD",14.8219416809312,0.000134002834742829
"115","NOR",7.44286250761498,0.000177097433915293
"116","NPL",24.0687931767354,0.000424586839921602
"117","NZL",13.4631499372734,0.000242450877257546
"118","OMN",22.6472074786021,1.99004506233531e-05
"119","PAK",13.6926518960892,5.2820839292567e-05
"120","PAN",25.134872815842,0.000370149777658641
"121","PER",19.3028621979884,0.000190317302800153
"122","PHL",26.1751380600346,0.000443230484071556
"123","PNG",24.8504506028639,0.000520692860649703
"124","POL",14.1831147665034,0.00012998640984603
"125","POLY",23.374823933853,0.000241104833226057
"126","PRI",23.7365025536653,0.000295075773850474
"127","PRK",18.5451580271889,0.000302042631381869
"128","PRT",11.6121111127293,0.000130238926678285
"129","PRY",24.27374780548,0.000282399798099805
"130","PSE",15.5325122736621,0.000112055036767294
"131","QAT",20.907617100428,3.09720982308122e-05
"132","REU",15.5250199297567,0.000242559201585054
"133","ROU",17.7049594319821,0.000117451419324286
"134","RUS",8.87622049077143,0.000100466142925039
"135","RWA",18.8391007763759,0.000176714278182812
"136","SAU",19.2724571806928,1.78526751409042e-05
"137","SDN",28.7401266165301,0.000108109928983386
"138","SEN",27.7870485393627,0.000249871399515219
"139","SGP",27.8344537380943,0.0003153399556701
"140","SLB",26.2471481549151,0.000655146912511242
"141","SLE",25.3725550541248,0.00051691100432734
"142","SLV",24.5712716377372,0.000444664187598685
"143","SOM",25.881449427731,3.76309745002811e-05
"144","STP",21.374106770929,0.000331193893447515
"145","SUR",27.3706817488333,0.000258200037874004
"146","SWE",9.81237120488533,0.000122370785534108
"147","SWZ",22.4270699383721,0.000225144619853361
"148","SYC",26.7131361158913,0.000276994827463382
"149","SYR",13.0476458596123,6.70161376044928e-05
"150","TCD",28.1238418236988,0.000176164481199374
"151","TGO",25.6971699810159,0.000266151070892719
"152","THA",26.7278482756149,0.000316171538746791
"153","TJK",18.9463955690055,2.89900620232426e-05
"154","TKM",15.5105960987281,3.22761827372465e-05
"155","TLS",24.7708286311713,0.000289495762262189
"156","TTO",25.9618215978789,0.000143908864010992
"157","TUN",14.8538512827335,5.63127422760237e-05
"158","TUR",17.4855869270375,6.6044285732393e-05
"159","TZA",23.3245239656515,0.000267667661295813
"160","UGA",22.6968364203857,0.000222224749708399
"161","UKR",16.824368079683,0.000101361741499691
"162","URY",19.9204114986957,0.000191710808736873
"163","USA",16.7037821473081,0.000120137173437985
"164","UZB",18.1964079854183,3.46564356909069e-05
"165","VEN",25.5283615453116,0.000473315838788111
"166","VNM",26.9850415805339,0.000463718500675805
"167","VUT",21.8899250033401,0.000275174073149195
"168","YEM",19.8902081264227,2.00172414727959e-05
"169","YSR",16.2355176765448,0.000153647208402996
"170","ZAF",21.6917009039109,0.000121506253931226
"171","ZMB",22.8594296136382,0.000238356865972088
"172","ZWE",24.054255450934,0.000206205402508446
